id,name,smiles,note
1,selleck_1,C(=N)(N)N.[Cl-].[H+],
2,selleck_2,C([N+](C)(C)C)C(=O)O.[Cl-],
3,selleck_3,C(N)CS(=O)(=O)O,
4,selleck_4,[C@@H]1(OC[C@H]([C@@H]([C@H]1O)O)O)O,
5,selleck_5,c1c(/C(=C\C)/C(=C/C)/c2ccc(O)cc2)ccc(c1)O,
6,selleck_6,[C@@H]1(O[C@@H]2O[C@H]([C@@](O)([C@H]2O[C@@H]2O[C@H]([C@H](O)[C@@H](O)[C@@H]2NC)CO)C=O)C)[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]1O.[C@@H]1(O[C@@H]2O[C@H]([C@@](O)([C@H]2O[C@@H]2O[C@H]([C@H](O)[C@@H](O)[C@@H]2NC)CO)C=O)C)[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,
7,selleck_7,[C@H](NC(=O)c1ccc(NCc2nc3c(nc2)[nH]c(nc3=O)N)cc1)(CCC(=O)O)C(=O)O,
8,selleck_8,[C@H]([C@H](CC)C)(C(=O)O)N,
9,selleck_9,c1nc2c([nH]1)c(ncn2)N,
10,selleck_10,O=c1[nH]c(=O)[nH]cc1,
11,selleck_11,[C@@]123C4N(c5c1cccc5)C(=O)CC1OCC=C5[C@@H]([C@H]41)C[C@@H]2N(CC3)C5.[C@@]123C4N(c5c1cccc5)C(=O)CC1OCC=C5[C@@H]([C@H]41)C[C@@H]2N(CC3)C5.O=S(=O)(O)O,
12,selleck_12,c1cc2c(c3c1c1c(c4c(OCO4)cc1)c[n+]3C)cc1OCOc1c2.[Cl-],
13,selleck_13,[C@@H]12c3c(cc4c(c3Oc3cc5c(CCN([C@@H]5Cc5ccc(c(c5)Oc5ccc(C1)cc5)OC)C)cc3OC)OCO4)CCN2C,
14,selleck_14,c1c(c(ccc1)C(=O)O)C(=O)Nc1c(cccc1C)C,
15,selleck_15,c1c(S(=O)(=O)NC(=O)NC2CCCCC2)ccc(c1)C(C)O,
16,selleck_16,[C@@H]1(c2c(C(=O)c3c1cccc3O)c(cc(c2)CO)O)[C@@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO,
17,selleck_17,[C@@H]12[C@@]3(OC(=O)C)[C@H](OC3)C[C@H](O)[C@]1(C(=O)[C@H](O)C1=C([C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C[C@@](O)([C@H]2OC(=O)c2ccccc2)C1(C)C)C)C.O.O.O,
18,selleck_18,C(C1CCSS1)CCCC(=O)O,
19,selleck_19,[C@@]12([C@]3(C([C@@]4(C([C@](C(O[C@@H]5O[C@@H]([C@@H](O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)[C@H](O)[C@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)C(=O)O)CC4)(CO)C)CC3)C)CC=C1C1[C@@]([C@H](O)C2)([C@@H](OC(=O)C)[C@H](OC(=O)/C(=C/C)/C)C(C1)(C)C)CO)C)C.[C@@]12([C@]3(C([C@@]4(C([C@](C(O[C@@H]5O[C@@H]([C@@H](O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)[C@H](O)[C@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)C(=O)O)CC4)(CO)C)CC3)C)CC=C1C1[C@@]([C@H](O)C2)([C@@H](OC(=O)C)[C@H](OC(=O)/C(=C\C)/C)C(C1)(C)C)CO)C)C,
20,selleck_20,[C@]12([C@H]3[C@@H]([C@@]4([C@@H](C[C@@H](O[C@H]5C[C@@H]([C@H](O[C@H]6C[C@@H]([C@H](O[C@H]7C[C@@H]([C@H](O)[C@H](O7)C)O)[C@H](O6)C)O)[C@H](O5)C)O)CC4)CC3)C)CC[C@@]1([C@@H](C1=CC(=O)OC1)CC2)C)O,
21,selleck_21,[C@H]1(c2cc(=O)c(ccc2c2c(c(c(OC)cc2CC1)OC)OC)OC)NC(=O)C,
22,selleck_22,C(C(C(=O)O)N)CC(=O)N,
23,selleck_23,c1ccccc1C(C(=O)OC1CC2N(C)C(C1)CC2)CO,
24,selleck_24,[C@H]12[C@H]3[C@@]([C@@H]([C@@H](CCC(=O)O)C)CC3)(C(=O)C[C@@H]1[C@@]1([C@@H](CC(=O)CC1)CC2=O)C)C,
25,selleck_25,OC1C(C(C(O)C(C1O)O)O)O,
26,selleck_26,c1cccc2c1c(c[nH]2)CC(C(=O)O)N,
27,selleck_27,c1cccc2c1C(=O)C(=CC2=O)C,
28,selleck_28,c1c(c(c2c3c1c(=O)oc1c3c(cc(c1O)O)c(=O)o2)O)O,
29,selleck_29,[C@@H]12[C@H]([C@H]3[C@]([C@@H](C(=O)C)CC3)(C)CC1)CCC1=CC(=O)CC[C@]21C,
30,selleck_30,c1cc(ccc1CC(C(=O)O)N)O,
31,selleck_31,[C@H]1(OP(=O)(O)O)[C@@H]([C@H]([C@H](OP(=O)(O)O)[C@H]([C@H]1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,
32,selleck_32,c1cccc2c1C(=O)/C(=C/1\C(=O)c3c(N1)cccc3)/N2,
33,selleck_33,CC12C(C(CC1=O)CC2)(C)C,
34,selleck_34,c1cc(ccc1C(=O)O)O,
35,selleck_35,c1cccc2c1C(=O)CC(O2)c1ccccc1,
36,selleck_36,c1c(ccc(c1O)O)C(=O)O,
37,selleck_37,c1cc(cc(c1OC)OC)CC(=O)O,
38,selleck_38,c1cccc2[n+](c(c([n+](c12)[O-])C(=O)NCCO)C)[O-],
39,selleck_39,C(C1CCSS1)CCCC(=O)O,
40,selleck_40,c1c(ccc(c1OC)O)/C=C/C(=O)OCC,
41,selleck_41,c1c(/C=C/C(=O)O)cccc1,
42,selleck_42,[C@@H]1([C@@H](C[C@H](C)CC1)O)C(C)C,
43,selleck_43,c1cc(ccc1CCO)O,
44,selleck_44,c1c(c(c(cc1C(=O)O)OC)O)OC,
45,selleck_45,[C@@H]1(O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,
46,selleck_46,C(O)C(O)C(O)CO,
47,selleck_47,C(O)C1OC(O)C(O)C(O)C1OC1OC(C(O)C(O)C1O)CO,
48,selleck_48,C(O)C1OC(O)C(O)C(O)C1OC1OC(C(O)C(O)C1O)CO,
49,selleck_49,[C@H]1(O)[C@H](O)[C@H](O)COC1O,
50,selleck_50,[C@H]([C@@H](C=O)O)(C(O)CO)O,
51,selleck_51,C(C(C(C(CO)O)O)O)O,
52,selleck_52,C(C1OC(C(C(C1O)O)O)O)O,
53,selleck_53,C(C(=O)O)CC(=O)O,
54,selleck_54,C(CCCCCCCCCC)CCCCC(=O)O,
55,selleck_55,c1nc2c([nH]1)c(=O)n(c(=O)n2C)C.O,
56,selleck_56,C(C1C(C(C(C(O)O1)N)O)O)O,
57,selleck_57,[C@]12([C@]3([C@@]4(C)O[C@@H]1O[C@@]([C@@H]2C3)(C4)O)O[C@H]1[C@@H]([C@@H](O)[C@@H]([C@H](O1)CO)O)O)COC(=O)c1ccccc1,
58,selleck_58,[C@@H]12[C@H]([C@H]3[C@]([C@@H](C(=O)CO)CC3)(C)C[C@@H]1O)CCC1=CC(=O)CC[C@]21C,
59,selleck_59,[C@H]12[C@@H]([C@@]3(C(=CC1)C[C@@H](O)CC3)C)CC[C@]1([C@H]2CCC1=O)C,
60,selleck_60,C(C1OC(n2c(=O)nc(N)cc2)C(C1O)O)O,
61,selleck_61,c1cc(cc2c1c(=O)c(co2)c1ccc(O)cc1)O,
62,selleck_62,c1c(O)c(ccc1/C=C/c1cc(cc(c1)O)O)O,
63,selleck_63,c1nc2c(c(=O)[nH]c(=O)n2C)n1C,
64,selleck_64,O=c1c2c([nH]c(=O)[nH]2)[nH]c(=O)[nH]1,
65,selleck_65,c1cccc2c1c(c[nH]2)CCN,
66,selleck_66,[C@@H]12[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O)[C@H](C=CC1=CCC[C@@H]2OC(=O)[C@H](CC)C)C,
67,selleck_67,COc1cc2c(ccnc2cc1)C(C1CC2CCN1CC2C=C)O,
68,selleck_68,[C@H]12[C@H]3[C@@H]([C@@]4([C@@H](C[C@H](O)CC4)C[C@@H]3O)C)CC[C@@]1([C@@H]([C@@H](CCC(=O)O)C)CC2)C,
69,selleck_69,c1c2c(c(c3c1occ3)OC)ccc(=O)o2,
70,selleck_70,C(C(C(=O)O)N)CCN,
71,selleck_71,O=C(N)N,
72,selleck_72,c1c2c(cc(c1OC)OC)ccnc2Cc1cc(c(OC)cc1)OC.[Cl-].[H+],
73,selleck_73,C([N+](C)(C)C)C(CC(=O)[O-])O,
74,selleck_74,c1cc(ccc1/C=C/C)OC,
75,selleck_75,c1cc2c(c(c1)O)C(=O)c1c(cc(cc1C2OC1C(C(C(C(O1)CO)O)O)O)CO)O,
76,selleck_76,c1cccc2c1ccc(=O)o2,
77,selleck_77,C12OC3(O)C(OC1C(O)C(NC)C(O)C2NC)OC(CC3=O)C.[Cl-].[Cl-].[H+].[H+],
78,selleck_78,[C@@H]12c3c(c4c([nH]3)cc(OC)cc4)CCN1C[C@H]1C[C@@H](OC(=O)c3cc(c(c(c3)OC)OC)OC)[C@@H]([C@H]([C@H]1C2)C(=O)OC)OC,
79,selleck_79,N12[C@@H]([C@@H]3C[C@@H]([C@H]4N(C3)CCCC4)C1)CCCC2.O=S(=O)(O)O.O.O.O.O.O,
80,selleck_80,[C@H]1([C@@H]([C@@H](N)[C@@H]([C@H](O1)CO)O)O)O[C@@H]1[C@H]([C@H](O[C@@H]2[C@@H]([C@@H](O)[C@@H]([C@H](O2)CN)O)O)[C@H](C[C@H]1N)N)O.O=S(=O)(O)O,
81,selleck_81,c1c2c(c(O)cc1)C(=O)c1c(C2=O)cccc1O,
82,selleck_82,c1c(C(=O)OC2C(OC(=O)c3cc(c(O)c(c3)O)OC(=O)c3cc(c(O)c(c3)O)O)C(OC(C2OC(=O)c2cc(c(O)c(c2)OC(=O)c2cc(c(O)c(c2)O)O)O)COC(=O)c2cc(c(O)c(c2)OC(=O)c2cc(c(O)c(c2)O)O)O)OC(=O)c2cc(c(O)c(c2)O)OC(=O)c2cc(c(O)c(c2)O)O)cc(O)c(c1OC(=O)c1cc(c(O)c(c1)O)O)O,
83,selleck_83,C1(C(C(=O)OC1)CC)Cc1cncn1C.[Cl-].[H+],
84,selleck_84,[C@@H]1(OC2OC(C(OC3OC(C(O)C(O)(C3)C)C)C(N(C)C)C2O)C)[C@@H](OC)[C@H](O)CC(=O)O[C@@H](C/C=C/C=C/[C@H](OC2OC(C(N(C)C)CC2)C)[C@@H](C[C@@H]1CC=O)C)C,
85,selleck_85,[C@H]1(c2ccc(c(c2)O)O)Oc2cc(cc(c2C[C@@H]1O)O)O,
86,selleck_86,[C@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)CC1)C)CC[C@]1([C@H]2CC[C@@H]1O)C,
87,selleck_87,C([N+](C)(C)C)C(CC(=O)[O-])O,
88,selleck_88,[C@H]12[C@H]3[C@@H]([C@@]4([C@@H](C[C@H](O)CC4)C[C@H]3O)C)CC[C@@]1([C@@H]([C@@H](CCC(=O)O)C)CC2)C,
89,selleck_89,c1c(c(ccc1CC(C(=O)O)N)O)O,
90,selleck_90,c1nc2c(n1C1OC(CO)C(C1O)O)ncnc2N,
91,selleck_91,c1c(c(c(cc1Oc1c(cc(cc1I)CC(C(=O)O)N)I)I)O)I,
92,selleck_92,c1c(cc(O)c(c1O)O)C(=O)O,
93,selleck_93,c1ccncc1C(=O)O,
94,selleck_94,[C@]12(C(C)(C)[C@H](CC1=O)CC2)C,
95,selleck_95,C(S(=O)(=O)O)CCN,
96,selleck_96,C(CCCCCCCCCCC)CCCCCCCCCCO,
97,selleck_97,C(C1OC(C(C(C1O)O)O)O)O,
98,selleck_98,C([n+]1csc(c1C)CCO)c1cnc(nc1N)C.[Cl-].[Cl-].[H+],
99,selleck_99,c1c(c(c(c(n1)C)O)CO)CSSCc1cnc(c(c1CO)O)C,
100,selleck_100,C12CC3C(O)(c4c(C(=C3C(=O)C1(O)C(=O)/C(=C(\O)/N)/C(=O)C2N(C)C)O)c(ccc4)O)C.[Cl-].[H+],
101,selleck_101,C(C(=O)O)CCCCCCC(=O)O,
